DOLocationID,PULocationID,RatecodeID,VendorID,congestion_surcharge,extra,fare_amount,improvement_surcharge,mta_tax,passenger_count,payment_type,store_and_fwd_flag,tip_amount,tolls_amount,total_amount,tpep_dropoff_datetime,tpep_pickup_datetime,trip_distance,tpep_pickup_datetime_IST,tpep_dropoff_datetime_IST,TravelTime
264,264,1,2,0.0,0.5,23.5,0.3,0.5,1,2,N,0.0,0.0,24.8,2021-01-01 00:51:44,2021-01-01 00:28:16,7.11,2021-01-01 12:58:16,2021-01-01 13:21:44,1408
233,75,1,2,2.5,0.5,11.0,0.3,0.5,1,2,N,0.0,0.0,14.8,2021-01-01 00:29:48,2021-01-01 00:19:23,3.04,2021-01-01 12:49:23,2021-01-01 12:59:48,625
107,164,1,1,2.5,3.0,7.5,0.3,0.5,1,1,N,2.8,0.0,14.1,2021-01-01 00:39:56,2021-01-01 00:32:30,1.5,2021-01-01 13:02:30,2021-01-01 13:09:56,446
90,68,1,2,2.5,0.5,7.0,0.3,0.5,1,1,N,2.16,0.0,12.96,2021-01-01 00:26:58,2021-01-01 00:20:11,1.48,2021-01-01 12:50:11,2021-01-01 12:56:58,407
114,170,1,2,2.5,0.5,9.0,0.3,0.5,5,1,N,2.0,0.0,14.8,2021-01-01 00:36:27,2021-01-01 00:28:07,2.01,2021-01-01 12:58:07,2021-01-01 13:06:27,500
74,162,1,2,2.5,0.5,13.5,0.3,0.5,2,2,N,0.0,0.0,17.3,2021-01-01 00:35:03,2021-01-01 00:23:29,4.12,2021-01-01 12:53:29,2021-01-01 13:05:03,694
261,100,1,2,2.5,0.5,20.5,0.3,0.5,1,1,N,0.0,0.0,24.3,2021-01-01 01:03:48,2021-01-01 00:34:54,4.44,2021-01-01 13:04:54,2021-01-01 13:33:48,1734
179,249,1,2,2.5,"","",0.3,0.5,3,1,N,8.04,0.0,34.84,2021-01-01 01:12:16,2021-01-01 00:47:58,7,2021-01-01 13:17:58,2021-01-01 13:42:16,1458
142,90,1,2,2.5,0.5,9.5,0.3,0.5,2,1,N,2.66,0.0,15.96,2021-01-01 00:38:53,2021-01-01 00:30:16,2.6,2021-01-01 13:00:16,2021-01-01 13:08:53,517
142,263,1,1,2.5,3.0,12.0,0.3,0.5,2,1,N,3.15,0.0,18.95,2021-01-01 00:39:46,2021-01-01 00:26:12,2.7,2021-01-01 12:56:12,2021-01-01 13:09:46,814
140,229,1,1,2.5,3.0,4.0,0.3,0.5,0,2,N,0.0,0.0,7.8,2021-01-01 00:46:51,2021-01-01 00:45:19,.50,2021-01-01 13:15:19,2021-01-01 13:16:51,92
165,264,1,2,0.0,0.5,50.0,0.3,0.5,2,1,N,10.26,0.0,61.56,2021-01-01 00:51:26,2021-01-01 00:17:06,17.68,2021-01-01 12:47:06,2021-01-01 13:21:26,2060
140,263,1,1,2.5,3.0,5.0,0.3,0.5,1,1,N,2.2,0.0,11.0,2021-01-01 00:54:31,2021-01-01 00:51:38,.90,2021-01-01 13:21:38,2021-01-01 13:24:31,173
21,132,1,2,0.0,0.5,46.0,0.3,0.5,2,2,N,0.0,0.0,47.3,2021-01-01 00:58:02,2021-01-01 00:33:51,17.05,2021-01-01 13:03:51,2021-01-01 13:28:02,1451
